DRAFT_POSITION,TEAM,ORIGINAL_LOTTERY_POSITION,Abbreviation
1,Phoenix Suns,1,PHX
2,Sacramento Kings,7,SAC
3,Atlanta Hawks,4,ATL
4,Memphis Grizzlies,2,MEM
5,Dallas Mavericks,3,DAL
6,Orlando Magic,5,ORL
7,Chicago Bulls,6,CHI
8,Cleveland Cavaliers (via Nets),8,CLE
9,New York Knicks,9,NYK
10,Philadelphia 76ers (via Lakers),10,PHI
11,Charlotte Hornets,11,CHA
12,Los Angeles Clippers (via Pistons),12,LAC
13,Los Angeles Clippers,13,LAC
14,Denver Nuggets,14,DEN
15,Washington Wizards,,WAS
16,PHXenix Suns (via Heat),,PHX
17,Milwaukee Bucks,,MIL
18,San Antonio Spurs,,SAS
19,Atlanta Hawks (via Timberwolves),,ATL
20,Minnesota Timberwolves (via Thunder),,MIN
21,Utah Jazz,,UTA
22,Chicago Bulls (via Pelicans),,CHI
23,Indiana Pacers,,IND
24,Portland Trail Blazers,,POR
25,Los Angeles Lakers (via Cavaliers),,LAL
26,Philadelphia 76ers,,PHI
27,Boston Celtics,,BOS
28,Golden State Warriors,,GSW
29,Brooklyn Nets,,BKN
30,Atlanta Hawks (via Houston Rockets),,ATL
31,PHXenix Suns,,PHX
32,Memphis Grizzlies,,MEM
33,Atlanta Hawks,,ATL
34,Dallas Mavericks,,DAL
35,Orlando Magic,,ORL
36,Sacramento Kings,,SAC
37,New York Knicks (via Bulls),,NYK
38,Philadelphia 76ers (via Nets),,PHI
39,Philadelphia 76ers (via Knicks),,PHI
40,Brooklyn Nets (via Lakers),,BKN
41,Orlando Magic (via Hornets),,ORL
42,Detroit Pistons,,DET
43,Denver Nuggets (via Clippers),,DEN
44,Washington Wizards,,WAS
45,Brooklyn Nets (via Bucks),,BKN
46,Houston Rockets (via Heat),,HOU
47,Los Angeles Lakers (via Nuggets),,LAL
48,Minnesota Timberwolves,,MIN
49,San Antonio Spurs,,SAS
50,Indiana Pacers,,IND
51,New Orleans Pelicans,,NOP
52,Utah Jazz,,UTA
53,Oklahoma City Thunder,,OKC
54,Dallas Mavericks (via Trail Blazers),,DAL
55,Charlotte Hornets (via Cavaliers),,CHA
56,Philadelphia 76ers,,PHI
57,Oklahoma City Thunder (via Celtics),,OKC
58,Denver Nuggets (via Warriors),,DEN
59,PHXenix Suns (via Raptors),,PHX
60,Philadelphia 76ers  (via Rockets),,PHI
