Rk,Player,Position,Team,Salary,Salary,Salary,Salary,Salary,Salary,Signed Using,Option,Option Year,Guaranteed,Photo
1,Stephen Curry,PG,GSW,34682550,37457154,40231758,43006362,45780966,,Bird Rights,,,201158790,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3975.png&w=350&h=254
2,LeBron James,SF,CLE,33285709,35607968,,,,,Early Bird,Player,2018,33285709,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/1966.png&w=350&h=254
3,Paul Millsap,PF,DEN,31269231,29730769,30500000,,,,Cap space,Team,2019,61000000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3015.png&w=350&h=254
4,Gordon Hayward,SF,BOS,29727900,31214295,32700690,34187085,,,Cap space,Player,2020,93642885,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4249.png&w=350&h=254
5,Blake Griffin,PF,DET,29512900,31873932,34234964,36595996,38957028,,Bird Rights,Player,2021,132217792,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3989.png&w=350&h=254
6,Kyle Lowry,PG,TOR,28703704,31000000,33296296,,,,Bird Rights,,,93000000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3012.png&w=350&h=254
7,Russell Westbrook,PG,OKC,28530608,35350000,38178000,41006000,43848000,,Bird Rights,,,186912608,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3468.png&w=350&h=254
8,Mike Conley,PG,MEM,28530608,30521115,32511623,34504132,,,Cap Space,Player,2020,113989729,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3195.png&w=350&h=254
9,James Harden,SG,HOU,28299399,30431854,37800000,40824000,43848000,,Bird Rights,,,181203253,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3992.png
10,DeMar DeRozan,SG,TOR,27739975,27739975,27739975,27739975,,,Cap Space,Player,2020,83219925,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3978.png&w=350&h=254
11,Al Horford,PF,BOS,27734405,28928710,30123015,,,,Cap Space,Player,2019,56663115,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3213.png
12,Carmelo Anthony,SF,OKC,26243760,27928140,,,,,Bird Rights,Player,2018,26243760,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/1975.png&w=350&h=254
13,Damian Lillard,PG,POR,26153057,27977689,29802321,31626953,,,1st Round Pick,,,115560020,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6606.png&w=350&h=254
14,Jrue Holiday,PG,NOP,25686667,26131111,26131111,26131111,27020000,,Bird Rights,Player,2021,104080000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3995.png&w=350&h=254
15,Chris Bosh,PF,MIA,25289390,26837720,,,,,,,,52127110,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/1977.png&w=350&h=254
16,Kevin Durant,SF,GSW,25000000,26250000,,,,,Non-Bird Rights,Player,2018,25000000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3202.png&w=350&h=254
17,Otto Porter,SF,WAS,24773250,26011913,27250576,28489239,,,Bird Rights,Player,2020,78035739,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2594922.png&w=350&h=254
18,Chris Paul,PG,HOU,24599495,,,,,,Bird Rights,,,24599495,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2779.png&w=350&h=254
19,C.J. McCollum,SG,POR,23962573,25759766,27556959,29354152,,,1st Round Pick,,,106633450,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2490149.png&w=350&h=254
20,Bradley Beal,SG,WAS,23775506,25434263,27093019,28751775,,,Cap Space,,,105054563,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6580.png&w=350&h=254
21,Anthony Davis,PF,NOP,23775506,25434263,27093019,28751775,,,1st Round Pick,,,76302788,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6583.png&w=350&h=254
22,Andre Drummond,C,DET,23775506,25434263,27093019,28751775,,,Cap Space,Player,2020,76302788,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6585.png&w=350&h=254
23,Hassan Whiteside,C,MIA,23775506,25434263,27093018,,,,Cap Space,Player,2019,49209769,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4262.png&w=350&h=254
24,Dwight Howard,C,CHA,23500000,23819725,,,,,Cap Space,,,47319725,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2384.png&w=350&h=254
25,Chandler Parsons,SF,MEM,23112004,24107258,25102511,,,,Cap Space,,,72321773,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6466.png&w=350&h=254
26,Harrison Barnes,SF,DAL,23112004,24107258,25102512,,,,Cap Space,Player,2019,47219262,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6578.png&w=350&h=254
27,J.J. Redick,SG,PHI,23000000,,,,,,Cap space,,,23000000,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3024.png&w=350&h=254
28,Marc Gasol,C,MEM,22642350,24119025,25595700,,,,Bird Rights,Player,2019,46761375,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3206.png&w=350&h=254
29,Kevin Love,PF,CLE,22642350,24119025,25595700,,,,Bird Rights,,,46761375,http://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3449.png&w=350&h=254
