
RK,	PLAYER,	SCHOOL/Team,	YEAR,	POS,	POS, RK,	HT,	WT		
1,	Deandre Ayton,	Arizona,	Fr,	C,	1,	7-1,	260		
2,	Marvin Bagley III,Duke,Fr,	PF,	1,	6-11,	234		
3,	Luka Doncic, International-Real Madrid,-,SG/SF,	1,	6-6,	228		
4,	Mohamed Bamba,	Texas,	Fr,	PF/C,	2,	6-11,	225		
5,	Jaren Jackson Jr.,	Michigan St.,	Fr,	PF,	3,	6-11,	242		
6,	Michael Porter Jr.,	Missouri	Fr	SF	1	6-10	215		
7,	Trae Young,	Oklahoma,	Fr,	PG,	1,	6-2,	180		
8,	Collin Sexton,	Alabama,	Fr,	PG,	2,	6-3,	190		
9,	Wendell Carter Jr.,	Duke,	Fr,	PF,	4,	6-10,	259		
10,	Shai Gilgeous-Alexander,Kentucky,Fr,	PG,3,6-6,180		
11,	Kevin Knox,	Kentucky,	Fr,	SF,	2,	6-9,	215		
12,	Mikal Bridges,	Villanova,	Jr,	SF,	3,	6-7,	210		
13,	Miles Bridges,	Michigan St.,	Soph,	SF,	4,	6-7,	230		
14,	Lonnie Walker IV,	Miami (Fla.),	Fr,	SG,	2,	6-5,	204		
15,	Robert Williams,	Texas A&M,	Soph,	PF,	5,	6-10,	240		
16,	Keita Bates-Diop,	Ohio St.,	Jr,	SF,	5,	6-7,	235		
17,	Brandon McCoy,	UNLV,	Fr,	C,	2,	7-0,	251		
18,	Khyri Thomas,	Creighton,	Jr,	SG,	3,	6-3,	210		
19,	Aaron Holiday,	UCLA,	Jr,	PG,	4,	6-1,	185		
20,	Donte DiVincenzo,	Villanova,	Soph,	SG,	4,	6-5,	205		
21,	Moritz Wagner,	Michigan,	Jr,	C,	3,	6-11,	245		
22,	De'Anthony Melton,	USC,	Soph,	PG,	5,	6-4,	200		
23,	Jalen Brunson,	Villanova,	Jr,	PG,	6,	6-2,	190		
24,	Bruce Brown Jr.,	Miami (Fla.),	Soph,	SG,	5,	6-5,	190		
25,	Chandler Hutchison,	Boise St.,	Sr,	SF,	6,	6-7,	197		
26,	Tyus Battle,	Syracuse,	Soph,	PG,	7,	6-6,	205		
27,	Zhaire Smith,	Texas Tech,	Fr,	SG,	6,	6-5,	195		
28,	Omari Spellman,	Villanova,	Fr,	PF,	6,	6-8,	255		
29,	Mitchell Robinson,	N/A,	Fr,	C,	4,	7-0,	223		
30,	Landry Shamet,	Wichita St.,	Soph,	PG,	8,	6-4,	180		
31,	Dzanan Musa,	International-Cedevita Zagreb,	-,	SF,	7,	6-9,	187		
32,	Grayson Allen,	Duke,	Sr,	SG,	7,	6-5,	205		
33,	Jacob Evans III,	Cincinnati,	Jr,	SF,	8,	6-6,	210		
34,	Gary Trent Jr.,	Duke,	Fr,	SG,	8,	6-6,	209		
35,	Anfernee Simons,	IMG Academy,	-,	SG,	9,	6-3,	165		
36,	Devonte' Graham,	Kansas,	Sr,	PG,	9,	6-2,	185		
37,	Hamidou Diallo,	Kentucky,	Fr,	SF,	9,	6-5,	198		
38,	Caleb Martin,	NC State,	Jr,	SG,	10,	6-7,	205		
39,	Chimezie Metu,	USC,	Jr,	PF,	7,	6-11,	225		
40,	Troy Brown,	Oregon,	Fr,	SG,	11,	6-7,	215		
41,	Rawle Alkins,	Arizona, Soph,	SG,	12,	6-5,	220		
42,	Jevon Carter,	W. Virginia,	Sr,	PG,	10,	6-2,	205		
43,	Sviatoslav Mykhailiuk,	Kansas,	Sr,	SG,	13,	6-8,	205		
44,	Tony Carr,	Penn St.,	Soph,	PG,	11,	6-5,	204		
45,	Trevon Duval,	Duke,	Fr,	PG,	12,	6-3,	186		
46,	Shake Milton,	SMU,	Jr,	PG,	13,	6-6,	205		
47,	Keenan Evans,	Texas Tech,	Sr,	PG,	14,	6-3,	190		
48,	Malik Newman,	Kansas,	Soph,	PG,	15,	6-3,	190		
49,	Rodions Kurucs,	International-FC Barcelona,	-,	SF,	10,	6-9,	205		
50,	Jontay Porter,	Missouri,	Fr,	PF,	8,	6-11,	240		
51,	Shamorie Ponds,	St. John's,	Soph,	PG,	16,	6-1,	175		
52,	Kris Wilkes,	UCLA,	Fr,	SF,	11,	6-8,	195		
53,	PJ Washington,	Kentucky,	Fr,	PF,	9,	6-7,	236		
54,	Carsen Edwards,	Purdue,	Soph,	PG,	17,	6-1,	200		
55,	Kostas Antetokounmpo,	Dayton,	Fr,	SF,	12,	6-10,	197		
56,	Ethan Happ,	Wisconsin,	Jr,	PF,	10,	6-10,	235		
