Rk,Tm,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
1,Golden State Warriors,$137494845,$128341465,$85953438,$43006362,$45780966,
2,Cleveland Cavaliers,$137242469,$137976709,$103941273,$3872215,,
3,Oklahoma City Thunder,$134294056,$137538745,$88281978,$72478103,$43848000,$46662000
4,Miami Heat,$131222624,$147360943,$134274753,$40763735,$11600000,
5,Washington Wizards,$123916718,$124797665,$107593646,$98065014,$43848000,$46872000
6,Milwaukee Bucks,$120567308,$105506093,$79590280,$46120488,$1865547,
7,Detroit Pistons,$120086105,$117754336,$110253546,$70621597,$38957028,
8,New Orleans Pelicans,$119559252,$96040574,$76766359,$54882886,$27020000,
9,Houston Rockets,$119024081,$80442936,$88592019,$50546487,$43848000,$46872000
10,Portland Trail Blazers,$118812289,$112000975,$110128053,$74810921,$2844429,$2844429
11,Los Angeles Clippers,$118734925,$112084211,$33852599,$1500000,,
12,Minnesota Timberwolves,$117468554,$121473395,$85458080,$51359486,$31310000,$33330000
13,Charlotte Hornets,$117228164,$119578294,$75392032,$47891851,,
14,Toronto Raptors,$116482716,$127576032,$132742708,$42478142,$11615328,
15,San Antonio Spurs,$116153554,$99471628,$80028138,$16801998,,
16,Boston Celtics,$115009962,$107433526,$104965421,$52464808,$92857,$92857
17,Memphis Grizzlies,$109974852,$103259866,$86446874,$34504132,,
18,Denver Nuggets,$107889099,$107475362,$78900161,$19160714,$20482143,
19,New York Knicks,$107707087,$99972105,$64262965,$25151578,,
20,Utah Jazz,$107418934,$89333610,$51995146,$46126479,,
21,Los Angeles Lakers,$105103073,$39143365,$38703565,$18057119,,
22,Atlanta Hawks,$100033477,$70456108,$56042190,$19637302,,
23,Philadelphia 76ers,$99515733,$70593287,$64475179,$57382829,$44285471,$33330000
24,Orlando Magic,$98109356,$84558897,$54708293,$24362566,,
25,Brooklyn Nets,$96039772,$84344764,$47399293,$3909902,,
26,Sacramento Kings,$95627528,$75370952,$35164270,$17105787,,
27,Phoenix Suns,$94726173,$78421308,$52303240,$20680242,$12690000,
28,Indiana Pacers,$94383711,$92815802,$31206755,$27572225,$2245400,
29,Chicago Bulls,$89341913,$61024439,$35836738,$14260528,,
30,Dallas Mavericks,$85701122,$69610040,$39825527,$5686677,,
31,,$212399,,,,,
32,,$74159,,,,,
